Id	Kanji	Meaning	Onyomi	Kunyomi	PageNo
336	馬	HORSE	バ	うま ・ うま- ・ ま	116
337	尺	&lt;SHAKU&gt; (30.3cm)	シャク		117
338	尽	EXHAUST	ジン	つ.くす ・ -つ.くす ・ -ず.くし ・ つ.きる ・ つ.かす	117
339	駅	STATION	エキ		117
340	鳥	BIRD	チョウ	とり	117
341	島	ISLAND	トウ	しま	118
342	角	ANGLE ・ HORN	カク	かど ・ つの	118
343	虫	INSECT	チュウ	むし	118
344	触	TOUCH	ショク	ふ.れる ・ さわ.る	118
345	解	TAKE APART ・ DISSOLVE ・ CLARIFY	カイ ・ ゲ	と.く ・ と.かす ・ と.ける	119
346	独	ALONE	ドク	ひと.り	119
347	店	SHOP	テン	みせ	119
348	占	OCCUPY ・ DIVINE	セン	し.める ・ うらな.う	119
349	点	POINT	テン		120
350	士	MILITARY MAN ・ MAN OF LEARNING	シ		120
351	商	TRADE	ショウ	あきな.う	120
352	買	BUY	バイ	か.う	120
353	売	SELL	バイ	う.る ・ う.れる	121
354	続	CONTINUE	ゾク	つず.く ・ つず.ける	121
355	読	READ	ドク ・ トク ・ トウ	よ.む ・ -よ.み	121
356	共	JOINT	キョウ	とも ・ とも.に ・ -ども	121
357	供	OFFER	キョウ ・ ク	そな.える ・ とも ・ -ども	122
358	洪	FLOOD	コウ		122
359	昔	FORMER TIMES	セキ ・ シャク	むかし	122
360	冬	WINTER	トウ	ふゆ	122
361	寒	COLD	カン	さむ.い	123
362	春	SPRING	シュン	はる	123
363	夏	SUMMER	カ ・ ゲ	なつ	123
364	秋	AUTUMN	シュウ	あき	123
365	主	MAIN ・ LORD	シュ ・ ス	ぬし ・ おも ・ あるじ*	124
366	住	LIVE	ジュウ	す.む ・ す.まう ・ -ず.まい	124
367	駐	STATIONED	チュウ		124
368	注	POUR ・ CONCENTRATE	チュウ	そそ.ぐ	124
369	志	AMBITION	シ	こころざ.す ・ こころざし	125
370	誌	MAGAZINE	シ		125
371	仕	SERVE ・ DO	シ ・ ジ	つか.える	125
372	任	OFFICE ・ ENTRUST	ニン	まか.せる ・ まか.す	125
373	支	BRANCH ・ SUPPORT ・ BE OBSTRUCTED	シ	ささ.える ・ つか.える ・ か.う	126
374	反	COUNTER	ハン ・ ホン ・ タン	そ.る ・ そ.らす	126
375	坂	SLOPE	ハン	さか	126
376	阪	SLOPE	ハン	さか	126
377	飯	COOKED RICE ・ MEAL	ハン	めし	127
378	返	RETURN	ヘン	かえ.す ・ -かえ.す ・ かえ.る ・ -かえ.る	127
379	雑	MISCELLANEOUS ・ MIXED	ザツ ・ ゾウ		127
380	乱	DISORDERED	ラン	みだ.れる ・ みだ.る ・ みだ.す	127
381	寸	A BIT OF ・ &lt;SUN&gt; (3.03cm)	スン		128
382	寺	BUDDHIST TEMPLE	ジ	てら	128
383	時	TIME	ジ	とき ・ -どき	128
384	持	HOLD	ジ	も.つ ・ -も.ち ・ も.てる	128
385	特	SPECIAL	トク		129
386	待	WAIT	タイ	ま.つ ・ -ま.ち	129
387	得	ACQUIRE ・ GAIN	トク	え.る ・ う.る	129
388	侍	ATTEND UPON ・ SAMURAI	ジ	さむらい	129
389	詩	POETRY	シ		130
