Id	Kanji	Meaning	Onyomi	Kunyomi	PageNo
1383	密	CLOSE ・ SECRET	ミツ		378
1384	秘	SECRET	ヒ	ひ.める	378
1385	欧	EUROPE	オウ		379
1386	枢	PIVOT	スウ		379
1387	殴	BEAT	オウ	なぐ.る	379
1388	駆	DRIVE	ク	か.ける ・ か.る	379
1389	馳	GALLOP	チ	は.せる	380
1390	騒	CLAMOR	ソウ	さわ.ぐ	380
1391	旭	RISING SUN	キョク	あさひ	380
1392	旦	DAWN	タン ・ ダン		380
1393	但	PROVIDED THAT		ただ.し	381
1394	担	BEAR ON SHOULDER ・ UNDERTAKE	タン	かつ.ぐ ・ にな.う	381
1395	亘	SPAN	コウ	わた.る	381
1396	恒	CONSTANT	コウ		381
1397	垣	FENCE		かき	382
1398	宣	PROCLAIM	セン		382
1399	喧	CLAMOROUS	ケン	かまびす.しい ・ やかま.しい	382
1400	嘩	NOISY	カ		382
1401	唾	SALIVA	ダ	つば	383
1402	壷	JAR	コ	つぼ	383
1403	坪	&lt;TSUBO&gt; (about 3.3 square meters)		つぼ	383
1404	畔	WATERSIDE	ハン		383
1405	衆	MULTITUDE	シュウ ・ シュ		384
1406	伊	PHONETIC [I]	イ		384
1407	君	RULER ・ FAMILIAR TITLE ・ YOU	クン	きみ ・ -ぎみ	384
1408	群	GROUP	グン	む.れる ・ む.れ ・ むら ・ むら.がる	384
1409	郡	COUNTY	グン		385
1410	那	PHONETIC [NA]	ナ		385
1411	邦	STATE ・ JAPAN	ホウ		385
1412	郊	SUBURB	コウ		385
1413	効	EFFECT	コウ	き.く	386
1414	絞	STRANGLE ・ WRING	コウ	しぼ.る ・ し.める ・ し.まる	386
1415	搾	SQUEEZE	サク	しぼ.る	386
1416	紋	CREST	モン		386
1417	菊	CHRYSANTHEMUM	キク		387
1418	帝	EMPEROR	テイ		387
1419	締	CONCLUDE ・ TIGHTEN	テイ	し.まる ・ し.まり ・ し.める ・ -し.め ・ -じ.め	387
1420	諦	GIVE UP	テイ	あきら.める	387
1421	享	ENJOY	キョウ		388
1422	郭	OUTER ENCLOSURE	カク		388
1423	亭	INN ・ PSEUDONYM SUFFIX	テイ		388
1424	停	STOP	テイ		388
1425	昆	INSECT	コン		389
1426	混	MIX	コン	ま.じる ・ -ま.じり ・ ま.ざる ・ ま.ぜる ・ こ.む	389
1427	皆	ALL	カイ	みな ・ みんな*	389
1428	楷	BLOCK CHARACTER STYLE	カイ		389
1429	諧	HARMONY	カイ		390
1430	階	FLOOR ・ RANK	カイ		390
1431	陛	IMPERIAL PALACE STEPS	ヘイ		390
1432	陸	LAND	リク		390
1433	睦	FRIENDLY	ボク	むつ.まじい* ・ むつ.む*	391
1434	勢	POWER ・ CONDITION	セイ	いきお.い	391
1435	熱	HEAT	ネツ	あつ.い	391
1436	熟	MATURE	ジュク	う.れる	391
1437	塾	PRIVATE SCHOOL	ジュク		392
1438	陵	IMPERIAL MAUSOLEUM	リョウ	みささぎ	392
1439	菱	RHOMBUS	リョウ	ひし	392
1440	俊	BRILLIANT PERSON	シュン		392
1441	唆	INSTIGATE	サ	そそのか.す	393
1442	筈	TO BE EXPECTED	カツ	はず	393
1443	箸	CHOPSTICKS	チョ*	はし	393
1444	暑	HOT	ショ	あつ.い	393
1445	署	GOVERNMENT OFFICE ・ SIGN ONE'S NAME	ショ		394
1446	曙	DAWN	ショ ・ ジョ	あけぼの	394
1447	賭	WAGER	ト	か.ける	394
1448	諸	VARIOUS	ショ		394
1449	儲	PROFIT	チョ	もう.ける ・ もう.かる ・ もうけ	395
1450	緒	OUTSET ・ LINE	ショ ・ チョ	お	395
1451	翁	OLD MAN	オウ		395
1452	婆	OLD WOMAN	バ	ばあ	395
1453	姿	FIGURE	シ	すがた	396
1454	恣	ARBITRARY	シ		396
1455	妄	RASH	モウ ・ ボウ		396
1456	萎	WILT	イ	なえ.る ・ しぼ.む* ・ しお.れる* ・ しな.びる*	396
1457	妻	WIFE	サイ	つま	397
1458	凄	TREMENDOUS	セイ	すご.い* ・ すさ.まじい* ・ すご.む*	397
1459	章	CHAPTER ・ BADGE	ショウ		397
1460	彰	PROCLAIM MERITS	ショウ		397
1461	障	HINDRANCE	ショウ	さわ.る	398
1462	辛	PUNGENT ・ HARD	シン	から.い ・ つら.い*	398
1463	宰	PRESIDE	サイ		398
1464	辣	SHARP	ラツ		398
1465	辞	WORD ・ RESIGN	ジ	や.める	399
1466	壁	WALL	ヘキ	かべ	399
1467	璧	MAGNIFICENT JEWEL	ヘキ		399
1468	癖	HABIT	ヘキ	くせ	399
1469	避	AVOID	ヒ	さ.ける	400
1470	幸	GOOD FORTUNE ・ HAPPINESS	コウ	さいわ.い ・ さち ・ しあわ.せ	400
1471	服	CLOTHES ・ SUBMIT	フク		400
1472	報	REPORT ・ REQUITE	ホウ	むく.いる ・ むく.う	400
1473	執	EXECUTE ・ SEIZE	シツ ・ シュウ	と.る	401
1474	摯	SINCERE	シ		401
1475	達	ATTAIN ・ PLURAL SUFFIX	タツ	-たち*	401
1476	朗	CHEERFUL ・ CLEAR	ロウ	ほが.らか	401
1477	浪	BILLOW ・ ROAM	ロウ		402
1478	呉	KINGDOM OF WU ・ GIVE	ゴ	く.れる	402
1479	娯	ENJOYMENT	ゴ		402
1480	誤	MISTAKE	ゴ	あやま.る ・ -あやま.る	402
1481	富	RICH	フ ・ フウ	と.む ・ とみ	403
1482	副	SECONDARY	フク		403
1483	幅	WIDTH	フク	はば	403
1484	福	FORTUNE	フク		403
1485	祉	BLESSEDNESS	シ		404
1486	禍	CALAMITY	カ		404
1487	渦	WHIRLPOOL	カ	うず	404
1488	鍋	POT	カ*	なべ	404
1489	蘭	ORCHID ・ HOLLAND	ラン		405
1490	欄	COLUMN	ラン		405
1491	潤	MOIST	ジュン	うるお.う ・ うるお.す ・ うる.む	405
1492	淵	EDGE ・ DEEP POOL	エン	ふち	405
1493	滑	SLIDE ・ SMOOTH	カツ ・ コツ	すべ.る ・ なめ.らか	406
1494	稽	PRACTICE	ケイ		406
1495	肩	SHOULDER	ケン	かた	406
1496	脅	THREATEN	キョウ	おびや.かす ・ おど.す ・ おど.かす	406
1497	肯	ASSENT	コウ		407
1498	双	SET OF TWO	ソウ	ふた	407
1499	江	INLET	コウ	え	407
1500	湾	BAY	ワン		407
1501	港	PORT	コウ	みなと	408
1502	選	SELECT	セン	えら.ぶ	408
1503	択	SELECT	タク		408
1504	沢	SWAMP ・ ABUNDANT	タク	さわ	408
1505	訳	TRANSLATE ・ SENSE	ヤク	わけ	409
1506	釈	ELUCIDATE ・ RELEASE	シャク		409
1507	敷	LAY	フ	し.く ・ -し.き	409
1508	傲	PROUD	ゴウ		409
1509	贅	LUXURY	ゼイ		410
1510	審	EXAMINE CAREFULLY ・ TRY	シン		410
1511	藩	FEUDAL DOMAIN	ハン		410
1512	翻	TURN OVER ・ RENDER IN ANOTHER FORM	ホン	ひるがえ.る ・ ひるがえ.す	410
1513	翔	SOAR	ショウ	かけ.る ・ と.ぶ	411
1514	査	LOOK INTO	サ		411
1515	租	LAND TAX	ソ		411
1516	粗	COARSE	ソ	あら.い ・ あら-	411
1517	阻	HAMPER	ソ	はば.む	412
1518	狙	AIM AT	ソ	ねら.う	412
1519	宜	RIGHT	ギ	よろ.しい* ・ よろ.しく*	412
1520	畳	&lt;TATAMI&gt; (straw mat) ・ FOLD UP	ジョウ	たた.む ・ たた.み- ・ たたみ	412
1521	甲	SHELL ・ FIRST IN A SERIES	コウ ・ カン ・ カ*		413
1522	乙	SECOND IN A SERIES	オツ		413
1523	丙	THIRD IN A SERIES	ヘイ		413
1524	柄	CHARACTER ・ STATUS	ヘイ	がら	413
1525	押	PUSH	オウ	お.す ・ お.し- ・ お.っ- ・ お.さえる	414
1526	抽	DRAW OUT	チュウ		414
1527	捜	LOOK FOR	ソウ	さが.す	414
1528	届	DELIVER ・ REACH		とど.ける ・ -とど.け ・ とど.く	414
1529	宙	SPACE ・ MIDAIR	チュウ		415
1530	笛	FLUTE	テキ	ふえ	415
1531	袖	SLEEVE	シュウ	そで	415
1532	襟	COLLAR	キン	えり	415
1533	衿	COLLAR	キン	えり	416
1534	裾	CUFF		すそ	416
1535	据	SET		す.える ・ す.わる	416
1536	握	GRASP	アク	にぎ.る	416
1537	揃	MAKE UNIFORM	セン	そろ.える ・ そろ.う ・ そろ.い ・ -ぞろ.い	417
1538	撫	STROKE	ブ	な.でる	417
1539	託	ENTRUST	タク		417
1540	宅	DWELLING HOUSE	タク		417
1541	詫	APOLOGIZE	タ	わ.びる ・ わ.び	418
1542	宇	UNIVERSE	ウ		418
1543	芋	POTATO		いも	418
1544	寿	LONGEVITY ・ CONGRATULATIONS	;	ことぶき	418
1545	鋳	CAST	チュウ	い.る	419
1546	銘	INSCRIPTION	メイ		419
1547	鏡	MIRROR ・ OPTICAL INSTRUMENT	キョウ	かがみ	419
1548	境	BOUNDARY ・ SITUATION	キョウ ・ ケイ	さかい	419
1549	環	RING ・ SURROUND	カン		420
1550	還	RETURN	カン		420
1551	盾	SHIELD	ジュン	たて	420
1552	循	CIRCULATE	ジュン		420
1553	巡	MAKE THE ROUNDS	ジュン	めぐ.る ・ めぐ.り	421
1554	這	CRAWL	シャ	は.う	421
1555	逓	RELAY	テイ		421
1556	息	BREATH	ソク	いき	421
1557	憩	TAKE A REST	ケイ	いこ.い ・ いこ.う	422
1558	鼻	NOSE	ビ	はな	422
1559	孔	OPEN HOLE	コウ		422
1560	臭	BAD SMELL	シュウ	くさ.い ・ -くさ.い ・ にお.う ・ にお.い	422
1561	嗅	SMELL	キュウ	か.ぐ	423
1562	奥	INNER PART	オウ	おく	423
1563	尖	POINTY	セン	とが.る ・ とん.がる	423
1564	突	THRUST	トツ	つ.く	423
1565	窒	CHOKE ・ NITROGEN	チツ		424
1566	窃	STEAL	セツ		424
1567	衝	COLLIDE	ショウ		424
1568	契	PLEDGE	ケイ	ちぎ.る	424
1569	喫	INGEST	キツ		425
1570	潔	IMMACULATE	ケツ	いさぎよ.い	425
1571	侮	INSULT	ブ	あなど.る	425
1572	梅	JAPANESE APRICOT	バイ	うめ	425
1573	悔	REPENT	カイ	く.いる ・ く.やむ ・ くや.しい	426
1574	敏	NIMBLE	ビン		426
1575	繁	THRIVE	ハン		426
1576	繋	CONNECT	ケイ	つな.ぐ ・ つな.がる ・ かか.る	426
1577	茂	GROW THICK	モ	しげ.る	427
1578	橋	BRIDGE	キョウ	はし	427
1579	矯	RECTIFY	キョウ	た.める	427
1580	稿	MANUSCRIPT	コウ		427
1581	縞	STRIPE	コウ	しま	428
1582	箋	WRITING PAPER	セン		428
1583	残	LEAVE BEHIND ・ RUTHLESS	ザン	のこ.る ・ のこ.す	428
1584	桟	SCAFFOLD	サン		428
1585	銭	MONEY	セン	ぜに	429
1586	践	PUT INTO ACTION	セン		429
1587	浅	SHALLOW	セン	あさ.い	429
1588	洩	LEAK	エイ ・ セツ	も.る ・ も.れる ・ も.らす	429
1589	壮	VIGOROUS ・ GRAND	ソウ		430
1590	荘	VILLA ・ DIGNIFIED	ソウ		430
1591	装	DRESS ・ FIT OUT	ソウ ・ ショウ	よそお.う	430
1592	冥	DARK	メイ ・ ミョウ		430
1593	暗	DARK	アン	くら.い	431
1594	韻	RHYME	イン		431
1595	損	LOSS	ソン	そこ.なう ・ -そこ.なう ・ そこ.ねる ・ -そこ.ねる	431
1596	捕	CATCH	ホ	と.らえる ・ と.らわれる ・ と.る ・ つか.まえる ・ つか.まる	431
1597	挿	INSERT	ソウ	さ.す	432
1598	補	SUPPLEMENT	ホ	おぎな.う	432
1599	浦	SEASIDE		うら	432
1600	哺	SUCKLE	ホ		432
1601	舗	PAVE ・ SHOP	ホ		433
1602	掴	GRASP	カク	つか.む ・ つか.まえる ・ つか.まる	433
1603	捉	CATCH	ソク	とら.える	433
1604	促	HASTEN	ソク	うなが.す	433
1605	筆	BRUSH ・ WRITING	ヒツ	ふで	434
1606	津	HARBOR	シン	つ	434
1607	律	LAW ・ RHYTHM	リツ ・ リチ		434
1608	逮	CATCH A CRIMINAL	タイ		434
1609	建	BUILD	ケン ・ コン	た.てる ・ た.て ・ -だ.て ・ た.つ	435
1610	健	ROBUST	ケン	すこ.やか	435
1611	康	HEALTHY	コウ		435
1612	庸	MEDIOCRE	ヨウ		435
1613	粛	PURGE ・ HUSHED	シュク		436
1614	繍	EMBROIDERY	シュウ		436
1615	唐	TANG DYNASTY	トウ	から	436
1616	糖	SUGAR	トウ		436
1617	粧	APPLY MAKEUP	ショウ		437
1618	糧	FOOD PROVISIONS	リョウ ・ ロウ	かて	437
1619	粉	POWDER	フン	こ ・ こな	437
1620	紛	CONFUSED	フン	まぎ.れる ・ -まぎ.れ ・ まぎ.らす ・ まぎ.らわす ・ まぎ.らわしい	437
1621	糾	INQUIRE INTO	キュウ		438
1622	粋	REFINED	スイ	いき	438
1623	砕	CRUSH UP	サイ	くだ.く ・ くだ.ける	438
1624	枠	FRAME		わく	438
1625	酔	BECOME INTOXICATED	スイ	よ.う ・ よ.い	439
1626	醒	WAKE UP	セイ	さ.める* ・ さ.ます*	439
1627	酬	RECIPROCATE	シュウ		439
1628	酷	SEVERE	コク	ひど.い*	439
1629	凡	COMMONPLACE	ボン ・ ハン		440
1630	凧	KITE		たこ	440
1631	帆	SAIL	ハン	ほ	440
1632	汎	PAN-	ハン		440
1633	恐	FEAR	キョウ	おそ.れる ・ おそ.る ・ おそ.ろしい	441
1634	怖	FEARFUL	フ	こわ.い ・ こわ.がる	441
1635	築	CONSTRUCT	チク	きず.く	441
1636	尋	INQUIRE	ジン	たず.ねる	441
1637	訊	INTERROGATE	ジン	たず.ねる ・ き.く	442
1638	諮	CONSULT	シ	はか.る	442
1639	抗	RESIST	コウ		442
1640	航	NAVIGATE	コウ		442
1641	坑	PIT	コウ		443
1642	拝	WORSHIP ・ HUMBLY	ハイ	おが.む	443
1643	耕	TILL	コウ	たがや.す	443
1644	耗	WEAR AWAY	モウ ・ コウ		443
1645	崇	REVERENCE	スウ		444
1646	灰	ASH	カイ	はい	444
1647	炭	COAL ・ CHARCOAL ・ CARBON	タン	すみ	444
1648	岸	SHORE	ガン	きし	444
1649	岩	ROCK	ガン	いわ	445
1650	崩	CRUMBLE	ホウ	くず.れる ・ -くず.れ ・ くず.す	445
1651	嵐	STORM		あらし	445
1652	崖	CLIFF	ガイ	がけ	445
1653	催	SPONSOR	サイ	もよお.す	446
1654	焦	SCORCH ・ BE IMPATIENT	ショウ	こ.げる ・ こ.がす ・ こ.がれる ・ あせ.る	446
1655	礁	REEF	ショウ		446
1656	奮	ROUSE UP	フン	ふる.う	446
1657	奪	SEIZE	ダツ	うば.う	447
1658	隻	ONE OF A PAIR ・ COUNTER FOR SHIPS	セキ		447
1659	獲	CATCH GAME	カク	え.る	447
1660	穫	HARVEST	カク		447
1661	護	PROTECT	ゴ	まも.る*	448
1662	譲	CEDE	ジョウ	ゆず.る	448
1663	嬢	YOUNG LADY	ジョウ		448
1664	醸	BREW	ジョウ	かも.す	448
1665	壌	ARABLE SOIL	ジョウ		449
1666	壊	BREAK DOWN	カイ	こわ.す ・ こわ.れる	449
1667	懐	BOSOM ・ LONG FOR	カイ	ふところ ・ なつ.かしい ・ なつ.かしむ ・ なつ.く ・ なつ.ける	449
1668	徳	VIRTUE	トク		449
1669	聴	LISTEN	チョウ	き.く	450
1670	恥	SHAME	チ	は.じる ・ はじ ・ は.じらう ・ は.ずかしい	450
1671	羞	SHAME	シュウ		450
1672	爵	RANK OF NOBILITY	シャク		450
1673	侯	FEUDAL LORD	コウ		451
1674	喉	THROAT	コウ	のど	451
1675	候	SEASON ・ SEASONAL WEATHER	コウ	そうろう	451
1676	修	CULTIVATE ・ REPAIR	シュウ ・ シュ	おさ.める ・ おさ.まる	451
1677	悠	LEISURELY	ユウ		452
1678	是	RIGHT	ゼ		452
1679	提	PRESENT ・ CARRY IN HAND	テイ	さ.げる	452
1680	堤	EMBANKMENT	テイ	つつみ	452
1681	題	HEADING ・ TOPIC ・ PROBLEM	ダイ		453
1682	匙	SPOON	シ	さじ	453
1683	冒	RISK	ボウ	おか.す	453
1684	昌	CLEAR	ショウ		453
1685	唱	SING	ショウ	とな.える	454
1686	晶	CRYSTAL	ショウ		454
1687	帽	HEADGEAR	ボウ		454
1688	棟	BUILDING	トウ	むね ・ むな-	454
1689	凍	FREEZE	トウ	こお.る ・ こご.える	455
1690	氷	ICE	ヒョウ	こおり ・ ひ	455
1691	永	ETERNAL	エイ	なが.い	455
1692	泳	SWIM	エイ	およ.ぐ	455
1693	詠	RECITE POETRY	エイ	よ.む	456
1694	札	TAG	サツ	ふだ	456
1695	枚	COUNTER FOR FLAT THINGS	マイ		456
1696	杯	CUP	ハイ	さかずき	456
1697	析	ANALYZE	セキ		457
1698	折	BREAK (OFF) ・ FOLD	セツ	お.る ・ おり ・ お.り ・ -お.り ・ お.れる	457
1699	挫	BREAK	ザ	くじ.く* ・ くじ.ける*	457
1700	捻	TWIST	ネン	ひね.る* ・ ひね.くる*	457
1701	誓	SWEAR	セイ	ちか.う	458
1702	逝	DEPART THIS LIFE	セイ	い.く ・ ゆ.く	458
1703	哲	WISE ・ PHILOSOPHY	テツ		458
1704	斬	KILL	ザン	き.る	458
1705	漸	GRADUALLY	ゼン		459
1706	暫	SHORT WHILE	ザン	しばら.く*	459
1707	斥	REJECT	セキ		459
1708	訴	APPEAL TO ・ SUE	ソ	うった.える	459
1709	訟	LITIGATE	ショウ		460
1710	究	STUDY EXHAUSTIVELY	キュウ	きわ.める	460
1711	窮	BE IN EXTREMITY	キュウ	きわ.める ・ きわ.まる ・ きわ.まり ・ きわ.み	460
1712	極	EXTREME ・ POLE	キョク ・ ゴク	きわ.める ・ きわ.まる ・ きわ.まり ・ きわ.み	460
1713	函	BOX	カン	はこ	461
1714	探	PROBE ・ LOOK FOR	タン	さぐ.る ・ さが.す	461
1715	深	DEEP	シン	ふか.い ・ -ぶか.い ・ ふか.まる ・ ふか.める	461
1716	慄	TREMBLE	リツ		461
1717	惧	FEAR	グ		462
1718	慎	PRUDENT	シン	つつし.む	462
1719	鎮	QUELL	チン	しず.めるしず.まる	462
1720	塡	FILL (IN)	テン		462
1721	婚	MARRY	コン		463
1722	囚	PRISONER	シュウ		463
1723	困	BE IN TROUBLE	コン	こま.る	463
1724	梱	PACKAGE	コン		463
1725	因	CAUSE	イン	よ.る	464
1726	姻	MARRIAGE	イン		464
1727	咽	THROAT	イン		464
1728	恩	GRACE ・ DEBT OF GRATITUDE	オン		464
1729	菌	BACTERIA	キン		465
1730	漢	CHINESE HAN DYNASTY ・ FELLOW	カン		465
1731	嘆	SIGH	タン	なげ.く ・ なげ.かわしい	465
1732	勤	SERVICE	キン ・ ゴン	つと.める ・ -ずと.め ・ つと.まる	465
1733	謹	RESPECTFULLY	キン	つつし.む	466
1734	僅	A FEW	キン	わず.か	466
1735	索	SEARCH FOR	サク		466
1736	牽	PULL	ケン	ひ.く	466
1737	牢	PRISON ・ HARDNESS	ロウ		467
1738	啓	ENLIGHTEN ・ ADDRESS RESPECTFULLY	ケイ		467
1739	庶	MANIFOLD	ショ		467
1740	遮	INTERRUPT	シャ	さえ.ぎる	467
1741	燕	SWALLOW	エン	つばめ	468
1742	雀	SPARROW ・ MAHJONG	ジャク ・ ジャン	すずめ	468
1743	劣	INFERIOR	レツ	おと.る	468
1744	抄	EXCERPT	ショウ		468
1745	秒	SECOND	ビョウ		469
1746	妙	MARVELOUS	ミョウ		469
1747	沙	SAND	サ	すな	469
1748	汰	SIFT OUT	タ		469
1749	煎	BOIL	セン	い.る	470
1750	炒	ROAST	ショウ ・ ソウ	い.る ・ いた.める	470
1751	炊	COOK	スイ	た.く ・ -だ.き	470
1752	焚	KINDLE	フン	た.く	470
1753	薪	FIREWOOD	シン	たきぎ	471
1754	乃	POSSESSIVE PARTICLE	ナイ ・ ダイ	の ・ すなわ.ち	471
1755	之	POSSESSIVE PARTICLE	シ	の ・ これ	471
1756	此	THIS	シ	こ.れ ・ こ.の	471
1757	其	THAT	キ	そ.れ ・ そ.の	472
1758	乏	SCANTY	ボウ	とぼ.しい	472
1759	芝	LAWN GRASS		しば	472
1760	及	REACH TO	キュウ	およ.ぶ ・ およ.び ・ および ・ およ.ぼす	472
1761	扱	HANDLE		あつか.う ・ あつか.い	473
1762	級	GRADE	キュウ		473
1763	吸	SUCK ・ BREATHE IN	キュウ	す.う	473
1764	吹	BLOW	スイ	ふ.く	473
1765	呼	CALL	コ	よ.ぶ	474
1766	吐	SPEW	ト	は.く	474
1767	叶	BE FULFILLED	キョウ ・ ギョウ	かな.う ・ かな.える	474
1768	叱	SCOLD	シツ	しか.る	474
1769	叫	SHOUT	キョウ	さけ.ぶ	475
1770	吟	RECITE	ギン		475
1771	含	CONTAIN	ガン	ふく.む ・ ふく.める	475
1772	琴	&lt;KOTO&gt; (japanese zither)	キン	こと	475
1773	迷	PERPLEXED	メイ	まよ.う	476
1774	謎	RIDDLE		なぞ	476
1775	逆	REVERSE	ギャク	さか ・ さか.さ ・ さか.らう	476
1776	遡	GO BACK IN TIME	ソ	さかのぼ.る	476
1777	塑	MODEL	ソ		477
1778	勲	MERITORIOUS SERVICE	クン		477
1779	薫	BALMY	クン	かお.る	477
1780	芳	FRAGRANT	ホウ	かんば.しい	477
1781	香	SWEET SMELL	コウ ・ キョウ	か ・ かお.り ・ かお.る	478
1782	秀	EXCELLENT	シュウ	ひい.でる	478
1783	誘	INDUCE	ユウ	さそ.う	478
1784	拐	KIDNAP	カイ		478
1785	透	PASS THROUGH ・ SEE THROUGH	トウ	す.く ・ す.かす ・ す.ける	479
1786	携	CARRY IN HAND	ケイ	たずさ.える ・ たずさ.わる	479
1787	雄	MALE ・ HEROIC	ユウ	お- ・ おす	479
1788	雌	FEMALE	シ	め- ・ めす	479
1789	些	A LITTLE BIT	サ	いささか ・ ち.と ・ ちっ.と	480
1790	柴	BRUSHWOOD	サイ	しば	480
1791	紫	PURPLE	シ	むらさき	480
1792	髪	HAIR	ハツ	かみ	480
1793	髭	BEARD	シ	ひげ	481
1794	詐	SWINDLE	サ		481
1795	欺	DECEIVE	ギ	あざむ.く	481
1796	棋	&lt;SHOGI&gt; (japanese chess)	キ		481
1797	碁	&lt;GO&gt; (japanese checkers)	ゴ		482
1798	甚	EXTREMELY	ジン	はなは.だ ・ はなは.だしい	482
1799	勘	CHECK ・ INTUITIVE PERCEPTION	カン		482
1800	堪	ENDURE	カン	た.える ・ たま.る*	482
1801	匹	COUNTER FOR ANIMALS	ヒツ	ひき	483
1802	匠	CRAFTSMAN	ショウ		483
1803	匿	CONCEAL	トク		483
1804	諾	CONSENT	ダク		483
1805	乞	BEG		こ.う	484
1806	迄	UP TO	キツ	まで	484
1807	乾	DRY	カン	かわ.く ・ かわ.かす	484
1808	幹	TRUNK	カン	みき	484
1809	操	MANIPULATE ・ FIDELITY	ソウ	みさお ・ あやつ.る	485
1810	燥	DRY OUT	ソウ		485
1811	繰	REEL ・ SHIFT ONWARD		く.る	485
1812	藻	SEAWEED	ソウ	も	485
1813	噴	SPOUT	フン	ふ.く	486
1814	墳	TUMULUS	フン		486
1815	憤	INDIGNATION	フン	いきどおる	486
1816	牙	FANG	ガ ・ ゲ	きば	486
1817	芽	BUD	ガ	め	487
1818	雅	ELEGANT	ガ		487
1819	邪	EVIL	ジャ		487
1820	既	ALREADY	キ	すで.に	487
1821	概	GENERAL	ガイ		488
1822	慨	DEPLORE	ガイ		488
1823	苗	SEEDLING	ビョウ ・ ミョウ*	なえ ・ なわ-	488
1824	描	DEPICT	ビョウ	えが.く ・ か.く	488
1825	猫	CAT	ビョウ	ねこ	489
1826	萌	GERMINATE	ホウ ・ ボウ	も.える ・ きざ.す	489
1827	兆	SIGN ・ TRILLION	チョウ	きざ.す ・ きざ.し	489
1828	眺	GAZE	チョウ	なが.める	489
1829	逃	ESCAPE	トウ	に.げる ・ に.がす ・ のが.す ・ のが.れる	490
1830	桃	PEACH	トウ	もも	490
1831	跳	JUMP	チョウ	は.ねる ・ と.ぶ ・ -と.び	490
1832	挑	PROVOKE	チョウ	いど.む	490
1833	拙	CLUMSY	セツ	つたな.い	491
1834	屈	BEND	クツ	かが.む* ・ かが.める*	491
1835	掘	DIG	クツ	ほ.る	491
1836	堀	DITCH		ほり	491
1837	封	SEAL ・ ENFEOFF	フウ ・ ホウ		492
1838	筒	TUBE	トウ	つつ	492
1839	管	PIPE ・ EXERCISE CONTROL	カン	くだ	492
1840	棺	COFFIN	カン	ひつぎ	492
1841	轄	EXERCISE JURISDICTION OVER	カツ		493
1842	洞	CAVE	ドウ	ほら	493
1843	窟	CAVE	クツ		493
1844	淫	LEWD	イン	みだ.ら	493
1845	妊	BECOME PREGNANT	ニン		494
1846	娠	CONCEIVE	シン		494
1847	唇	LIP	シン	くちびる	494
1848	辱	HUMILIATE	ジョク	はずかし.める	494
1849	襲	RAID ・ INHERIT	シュウ	おそ.う	495
1850	伏	PROSTRATE	フク	ふ.せる ・ ふ.す	495
1851	吠	HOWL	ベイ ・ ハイ	ほ.える	495
1852	噛	BITE	ゴウ ・ コウ	か.む	495
1853	班	SQUAD	ハン		496
1854	斑	SPOT	ハン		496
1855	輩	FELLOW	ハイ		496
1856	悲	SAD	ヒ	かな.しい ・ かな.しむ	496
1857	忽	SUDDENLY ・ CARELESS	コツ	たちま.ち	497
1858	惚	FALL IN LOVE WITH	コツ	ほれ.る ・ ぼけ.る	497
1859	猿	MONKEY	エン	さる	497
1860	哀	SORROW ・ PITY	アイ	あわ.れ ・ あわ.れむ	497
1861	衰	DECLINE	スイ	おとろ.える ・	498
1862	衷	INNER HEART	チュウ		498
1863	喪	MOURNING ・ LOSS	ソウ	も	498
1864	忌	MOURNING ・ ABHOR	キ	い.む ・ い.み ・ い.まわしい	498
1865	卓	TABLE ・ PROMINENT	タク		499
1866	悼	MOURN	トウ	いた.む	499
1867	貞	CHASTE	テイ		499
1868	偵	SPY	テイ		499
1869	覇	SUPREMACY	ハ		500
1870	覆	COVER ・ OVERTURN	フク	おお.う ・ くつがえ.す ・ くつがえ.る	500
1871	履	FULFILL ・ PUT ON FOOTWEAR	リ	は.く	500
1872	属	BELONG TO	ゾク		500
1873	嘱	CHARGE WITH	ショク		501
1874	偶	BY CHANCE ・ COUPLE	グウ		501
1875	隅	NOOK	グウ	すみ	501
1876	隙	CREVICE	ゲキ	すき	501
1877	遇	TREAT ・ ENCOUNTER	グウ	あ.う*	502
1878	愚	FOOLISH	グ	おろ.か	502
1879	曹	SERGEANT	ソウ		502
1880	遭	MEET WITH	ソウ	あ.う ・ あ.わせる	502
1881	槽	TUB	ソウ		503
1882	妨	HINDER	ボウ	さまた.げる	503
1883	坊	SONNY BOY ・ COLLOQUIAL PERSON SUFFIX	ボウ ・ ボッ-		503
1884	傍	BESIDE	ボウ	かたわ.ら ・ そば*	503
1885	於	AT	オ	おい.て ・ お.ける	504
1886	房	CHAMBER ・ TUFT	ボウ	ふさ	504
1887	扇	FAN	セン	おうぎ	504
1888	扉	HINGED DOOR	ヒ	とびら	504
1889	雇	EMPLOY	コ	やと.う	505
1890	顧	LOOK BACK ON	コ	かえり.みる	505
1891	屑	SCRAPS		くず	505
1892	糞	DROPPINGS	フン	くそ	505
1893	尿	URINE	ニョウ		506
1894	泌	SECRETE	ヒツ ・ ヒ		506
1895	尻	BUTTOCKS		しり	506
1896	炉	FURNACE	ロ		506
1897	窯	KILN	ヨウ	かま	507
1898	釜	IRON POT		かま	507
1899	爺	OLD MAN	ヤ	じい ・ じじ ・ じじい ・ おやじ	507
1900	窪	SINK	ワ	くぼ.む ・ くぼ.まる ・ くぼ	507
1901	佳	FINE	カ		508
